sep=;
Frage;Frage_Label;Status;Status_Text;Gezaehlt;BibKey;Seitenbereich;Seitenzahl;AutorIn;HerausgeberIn;Jahr;Titel;Buchtitel / Journal;BibTeX-Seiten;DOI;URL;BibTeX-Annotation;Korpus_Pruefsumme
F2;Frage 2 (FW, MW/KS: Barrieren);K;Kernliteratur;ja;saegesserwyss2022grafinkrahmenmodell;1--19;19;"S\""agesser Wyss, Judith; Sahli Lozano, Caroline; Eckhart, Michael";"Vetter, Martin; Wuttig, Bettina; Spahn, Lea; G\""ohle, Henrik";2022;Grafomotorik und schulische Inklusion: Entwicklung und Anwendung eines Rahmenmodells;"Gesellschaft und Diversit\""at: Beitr\""age aus Sicht von Motologie und Psychomotorik zu bewegungs- und wahrnehmungsbezogener Forschung, Profession und Praxis";;;;"Preprint via ResearchGate, P\""adagogische Hochschule Bern. Verlag und Druckseiten vor Abgabe verifizieren. Kerngehalt f\""ur Frage 2: Arbeitsged\""achtnis als Flaschenhals (S. 1 f.); fachdidaktische Wirksamkeit interessengebundener Schreibanl\""asse (S. 6); GRAFOS-Verortung im inklusiven Rahmen (S. 7, 11). Bezug zu Frage 5: vier Ebenen multiprofessioneller Kooperation nach Wocken (S. 9 f.).";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F2;Frage 2 (FW, MW/KS: Barrieren);K;Kernliteratur;ja;nottbusch2017graphomotorik;125--138;14;Nottbusch, Guido;"Becker-Mrotzek, Michael; Grabowski, Joachim; Steinhoff, Torsten";2017;Graphomotorik;Forschungshandbuch empirische Schreibdidaktik;125–138;;;14 S. Peer-reviewed Kapitel. Teil B \enquoteEntwicklung der Schreibkompetenz des Forschungshandbuchs. Zentrale Forschungssynthese zur Graphomotorik (Chunking, Automatisierung, Alterstrajektorien).;a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F2;Frage 2 (FW, MW/KS: Barrieren);K;Kernliteratur;ja;hurschler2020handschriftbeurteilung;1--26;26;Hurschler Lichtsteiner, Sibylle;;2020;Differenzierende Beurteilung der Handschrift: Ein Bestandteil der Schreibförderung;leseforum.ch: Online-Plattform für Literalität;;;https://www.leseforum.ch/sysModules/obxLeseforum/Artikel/711/2020_3_de_hurschler.pdf;"26 S. Schweizer Lehrplan-21-Bezug; Leserlichkeit + Geläufigkeit als Beurteilungskriterien. Zentrale Grundlage für diagnostische Schreib-Förderung in FW2.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F2;Frage 2 (FW, MW/KS: Barrieren);K;Kernliteratur;ja;gold2018lesenkannmanlernen;62, 67--70, 88;10;Gold, Andreas;;2018;"Lesen kann man lernen: Wie man die Lesekompetenz f\""ordern kann";;;;;"S. 62–66 (Schwache Leser: Graphem-Phonem-Zuordnung, Sichtwortschatz, weiterf\""uhrendes Lesen) und Kap. 5, S. 67–88 (Lesefl\""ussigkeit als Br\""ucke, drei Niveaus mit Frustrationsniveau unter 40 WPM auf S. 70, Lautleseverfahren auf S. 88). Zusammen 27 S. Inti gelesen, im Repo als PDF abgelegt.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F2;Frage 2 (FW, MW/KS: Barrieren);K;Kernliteratur;ja;lehwald2017motivation;70--72, 84--89;9;Lehwald, Gerhard;;2017;Motivation trifft Begabung: Begabte Kinder und Jugendliche verstehen und gezielt fördern;;;;;"Kernreferenzen: (a) S. 57–63 = Fall Pawel, hochbegabter Underachiever, dokumentierte Parallele zu S.; (b) S. 70–72 = Sechsstufige Stufenfolge ins Underachievement (Abb. 2-5); (c) S. 84–89 = Flow als empirisch st\""arkster Begabungspr\""adiktor; (d) S. 151–158 = F\""orderlogik (Differenzierung, Compacting, Enrichment, Akzeleration), Frage 4 Kernliteratur. Bewusst nicht im Korpus: HST-P/FES/BVE (S. 107–134) wegen Sprachbarriere bei S.; Triadisches Modell (S. 65–69) wegen Redundanz.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F2;Frage 2 (FW, MW/KS: Barrieren);K;Kernliteratur;ja;greiten2021underachievement;546--555;10;Greiten, Silvia;"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Underachievement: Begriff und Konzept;Handbuch Begabung;546–555;;;10 S. (S. 546–555). Kanonische deutschsprachige Definition von Underachievement. Diskrepanzdefinition, Ursachencluster (psychosozial, personenbezogen, unterrichtlich, systemisch), Diagnostik und Förderung. Teil VIII \enquoteDysfunktionale Begabungsentwicklung des Handbuchs Begabung.;a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F2;Frage 2 (FW, MW/KS: Barrieren);K;Kernliteratur;ja;warneckehauke2020bildungsgerechtigkeit;241--252;12;"Warnecke, Sabine; Hauke, Robert";"Fischer, Christian; Fischer-Ontrup, Christiane; Käpnick, Friedhelm; Neuber, Nils; Solzbacher, Claudia; Zwitserlood, Pienie";2020;Stärkung der Bildungsgerechtigkeit bei Underachievement, Migration und Hochbegabung: Drei Beispiele aus der Förderpraxis;Begabungsförderung, Leistungsentwicklung, Bildungsgerechtigkeit – für alle! II. Beiträge aus der Begabungsförderung;241–252;;;12 S. (S. 241–252). Frage 2 Kernliteratur: Praxis- und Gerechtigkeitsbezug. Drei Beispiele aus der Förderpraxis: Underachievement, Migration und Hochbegabung gemeinsam adressiert. Beziehung, Geduld, positive Verstärkung, Offenheit für individuelle Unterschiede, Passung zu besonderen Interessen. Cited content: S. 247–252.;a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F3;Frage 3 (FW, PB: Beziehung);K;Kernliteratur;ja;kuhl2019diversitaet;35--48;14;"Kuhl, Julius; Hofmann, Franz";"Reintjes, Christian; Kunze, Ingrid; Ossowski, Ekkehard";2019;Diversität und Persönlichkeit: Begabungsentfaltung im Kontext der pädagogischen Beziehung;Begabungsförderung und Professionalisierung: Befunde, Perspektiven, Herausforderungen;35–59;10.25656/01:17448;;"25 S. (S. 35–59). Verifiziert via Klinkhardt Open-Access-PDF (urn:nbn:de:0111-pedocs-174484); Käpnick-Beitrag schliesst auf S. 60 an.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F3;Frage 3 (FW, PB: Beziehung);K;Kernliteratur;ja;grossrieder2010anerkennung;88--94;7;Grossrieder, Ivo;"Buholzer, Alois; Kummer Wyss, Annemarie";2010;Gleiches und Unterschiedliches anerkennen;Alle gleich – alle unterschiedlich: Zum Umgang mit Heterogenität in Schule und Unterricht;87–94;;;"7 S. (S. 87–94). Fliesstext-Spanne von Inti verifiziert (KERNLITERATUR\_INTI.md, Frage 3); gesamter Beitrag geht mit Literatur bis S. 95. Kapitelbeitrag im Buholzer/Kummer-Wyss-Sammelband.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F3;Frage 3 (FW, PB: Beziehung);K;Kernliteratur;ja;kesselshannover2015gleichaltrige;288;1;"Kessels, Ursula; Hannover, Bettina";"Wild, Elke; Möller, Jens";2015;Gleichaltrige;Pädagogische Psychologie;283–301;10.1007/978-3-642-41291-2_12;;19 S. (S. 283–301). Kapitel 12 in Wild/Möller (Hrsg.) 2015 (2. Aufl., nicht 3. Aufl. 2020). Konzeptioneller Beitrag zu Peers, Beliebtheit, Freundschaft, Homophilie, Bullying, sozialer Identität. Frage 3-Standardreferenz. Achtung Auflagen-Verifikation vor Abgabe.;a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F3;Frage 3 (FW, PB: Beziehung);K;Kernliteratur;ja;behrensen2019inklusive;86--98;13;Behrensen, Birgit;"Reintjes, Christian; Kunze, Ingrid; Ossowski, Ekkehard";2019;Inklusive Begabungsförderung – eine Antwort auf Bildungsherausforderungen in Zeiten von Fluchtmigration;Begabungsförderung und Professionalisierung: Befunde, Perspektiven, Herausforderungen;86–98;;;13 S.;a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F3;Frage 3 (FW, PB: Beziehung);K;Kernliteratur;ja;booth2019index;101--125;25;"Booth, Tony; Ainscow, Mel";"Achermann, Bruno; Amirpur, Donja; Braunsteiner, Maria-Luise; Demo, Heidrun; Plate, Elisabeth; Platte, Andrea";2019;Index für Inklusion: Ein Leitfaden für Schulentwicklung;;;;;Dimensionen A–C: ca. 90 S. (verteilt auf Fr. 3 und 4);a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F3;Frage 3 (FW, PB: Beziehung);K;Kernliteratur;ja;tschoppgruetterbuholzer2022intergruppenkontakt;35--40;6;"Tschopp, Cécile; Grütter, Jeanine; Buholzer, Alois";;;Soziale Teilhabe durch Intergruppenkontakt: Wie Freundschaften von Kindern mit heilpädagogischem Förderbedarf unterstützt werden können;;35–41;;;"7 S. (S. 35–41). Schweizer Forschungsbeitrag zum Intergruppenkontakt-Effekt für Freundschaften bei SPF-Kindern; Allport + PHLU-Programm. verified\_quotes.md vorliegend.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F3;Frage 3 (FW, PB: Beziehung);S;gezaehlte Stuetzliteratur;ja;kappus2010migration;67--70;4;Kappus, Elke-Nicole;"Buholzer, Alois; Kummer Wyss, Annemarie";2010;Umgang mit migrationsbedingter Heterogenität;Alle gleich – alle unterschiedlich: Zum Umgang mit Heterogenität in Schule und Unterricht;63–77;;;15 S. (S. 63–77). Volltext (Foto-Scan, komprimiert) liegt vor unter Literatur/kappus2010migration/source.pdf (5,0 MB). Inhaltsverzeichnis- Position bestätigt via Buholzer-Sammelband (Universitätsbibliothek Basel, IDSBB 005018146): Kappus-Beitrag steht in Teil I \enquoteErscheinungsweisen von Heterogenität.;a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F3;Frage 3 (FW, PB: Beziehung);S;gezaehlte Stuetzliteratur;ja;lehwald2017motivation;57--63;7;Lehwald, Gerhard;;2017;Motivation trifft Begabung: Begabte Kinder und Jugendliche verstehen und gezielt fördern;;;;;"Kernreferenzen: (a) S. 57–63 = Fall Pawel, hochbegabter Underachiever, dokumentierte Parallele zu S.; (b) S. 70–72 = Sechsstufige Stufenfolge ins Underachievement (Abb. 2-5); (c) S. 84–89 = Flow als empirisch st\""arkster Begabungspr\""adiktor; (d) S. 151–158 = F\""orderlogik (Differenzierung, Compacting, Enrichment, Akzeleration), Frage 4 Kernliteratur. Bewusst nicht im Korpus: HST-P/FES/BVE (S. 107–134) wegen Sprachbarriere bei S.; Triadisches Modell (S. 65–69) wegen Redundanz.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F3;Frage 3 (FW, PB: Beziehung);S;gezaehlte Stuetzliteratur;ja;gysinscherzinger2022freundschaftenwertvoll;10--11;2;"Gysin, Stefanie; Scherzinger, Marion";;;Freundschaften machen das Leben wertvoll;;8–12;;;5 S. (S. 8–12). Schweizer Beitrag zur Bedeutung von Freundschaften für Wohlbefinden. Volltext-Auszug in Literatur/gysinscherzinger2022freundschaftenwertvoll/source.pdf (Seiten 8–12 aus dem Heft extrahiert).;a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F3;Frage 3 (FW, PB: Beziehung);S;gezaehlte Stuetzliteratur;ja;baumert2022freundschaftwerte;40--46;7;Baumert, Britta;;;\enquoteMan kann nicht leben, wenn man keine Freunde hat: Wertezuschreibungen Jugendlicher mit und ohne Fluchterfahrung im Themenbereich Freundschaft;;36–50;10.11576/pflb-5878;;15 S. Empirische Studie zu Freundschaftswerten bei Jugendlichen mit/ohne Fluchterfahrung. Direkter Bezug zu Frage 3 (Migration + Peer-Beziehungen). verified\_quotes.md vorliegend (Status 4).;a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F3;Frage 3 (FW, PB: Beziehung);S;gezaehlte Stuetzliteratur;ja;evers2025stress;22--23;2;Evers, Wiebke;Pauly, Claudia;2025;Stress als Dämpfer für die kognitive Entwicklung und die Entfaltung von Begabung;Was ist fair? Begabungsgerechtigkeit auf dem Prüfstand;21–27;10.25656/01:33972;;"7 S. (S. 21–27). Erg\""anzende Transferliteratur, Frage 3. Dauerstress beeintr\""achtigt Lernen, Selbstregulation, Ged\""achtnis und Probleml\""osen. Verifiziert via pdf\_extract.py. Open Access via pedocs.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F4;Frage 4 (BW, DG/PV: Setting);K;Kernliteratur;ja;reisrenzullimueller2021sem;333--347;15;"Reis, Sally M.; Renzulli, Joseph S.; Müller-Oppliger, Victor";"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Das Schoolwide Enrichment Model (SEM): Vier Jahrzehnte Forschung zur Entwicklung von Talenten und kreativer Produktivität;Handbuch Begabung;333–347;;;"15 S. (S. 333–347). SEM-Hauptbeitrag im Handbuch Begabung, Teil IV \enquoteBegabende Schule. Drei-Ringe-Konzept als anti-essenzialistische Basis (S. 334\psq); RIS mit alternativen Identifikationspfaden für die 50 % nicht durch Standardtests Erkannten (S. 337); Enrichment Triad mit Typ I/II/III (S. 338\psq); Drehtürmodell (S. 342) und Schlüsselsatz \enquoteBegabung ist kein schulpsychologischer Fall; Curriculum Compacting (S. 343\psq); Schweizer SEM-Praxis an PH FHNW seit 2003 (S. 344\psq); Längsschnittstudien Delcourt 1993, Hébert 1993, Westberg, Renzulli/Reis 2014 (S. 346\psq). Achtung: Im bisherigen Manuskript fälschlich unter dem Citekey \textttrenzullireis2021rls zitiert – jener verweist auf den anderen Beitrag der beiden Autor:innen zum \enquoteRenzulli-Lernsystem (S. 444–454).";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F4;Frage 4 (BW, DG/PV: Setting);K;Kernliteratur;ja;buholzerkummerwyss2010heterogenitaet;7--12;6;"Buholzer, Alois; Kummer Wyss, Annemarie";"Buholzer, Alois; Kummer Wyss, Annemarie";2010;Heterogenität als Herausforderung für Schule und Unterricht;Alle gleich – alle unterschiedlich: Zum Umgang mit Heterogenität in Schule und Unterricht;7–12;;;"6 S. (S. 7–12). Eröffnungsbeitrag des Sammelbands. Buchprüfung 2026-05-01 am PDF-Auszug (Literatur/buholzer2010allegleich/source\_s7-12.pdf): Homogenitätslogik des Bildungssystems (S. 9), TIMSS-Befund (55 % der Lehrkräfte: Leistungsheterogenität als Berufserschwernis, S. 8), Polarisierungen wie \enquotenormale Kinder und Migrantenkinder (S. 9), Pädagogik der Vielfalt (S. 8), alternative Beurteilungsformen (S. 10) sind tatsächlich auf S. 7–12 belegt. Frage 4 Kernliteratur. Vormaliger Citekey \textttbuholzerkummerwyss2010einfuehrung ersetzt; Titel an Originalkapitelüberschrift angeglichen.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F4;Frage 4 (BW, DG/PV: Setting);K;Kernliteratur;ja;weigand2021separativ;290--298;9;"Weigand, Gabriele; Kaiser, Michaela";"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Separativ oder integrativ? Inklusive Begabungs- und Begabtenförderung;Handbuch Begabung;290–298;;;"9 S. (S. 290–298). Frage 4 Kernliteratur. Cheflektorat 2026-05-01: Seitenangabe von zuvor 290–301 auf 290–298 korrigiert (Originalumfang des argumentativen Kapitelteils; das Folgekapitel Anderegg/Wilhelm beginnt im Sammelband nach S. 298).";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F4;Frage 4 (BW, DG/PV: Setting);K;Kernliteratur;ja;sedmak2021bildungsgerechtigkeit;65--76;12;"Sedmak, Clemens; Kapferer, Elisabeth";"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Begabtenförderung und Bildungsgerechtigkeit;Handbuch Begabung;65–76;;;12 S. (S. 65–76). Frage 4 im 500-S.-Korpus.;a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F4;Frage 4 (BW, DG/PV: Setting);K;Kernliteratur;ja;muelleroppliger2021plurale;32--45;14;Müller-Oppliger, Victor;"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Plurale Gesellschaft, Inklusion und Bildungsgerechtigkeit;Handbuch Begabung;32–45;;;14 S. (S. 32–45). Frage 4 im 500-S.-Korpus.;a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F4;Frage 4 (BW, DG/PV: Setting);K;Kernliteratur;ja;preckel2021tad;274--289;16;Preckel, Franzis;"Müller-Oppliger, Victor; Weigand, Gabriele";2021;Das TAD-Framework: Ein Rahmenmodell zur Beschreibung von Begabung und Leistung unter einer Talententwicklungsperspektive;Handbuch Begabung;274–303;;;"ca. 30 S. Vier Phasen Talententwicklung: Potenzial, Kompetenz, Expertise, aussergewöhnliche Leistung; Weiterentwicklung des Mega-Modells (Subotnik et al. 2011).";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F4;Frage 4 (BW, DG/PV: Setting);K;Kernliteratur;ja;schulteterhardt2020potenzialentwicklung;264--267;4;"Schulte ter Hardt, Sarah; von Wieding, Nele; Gilhaus-Schütz, Julia; Fischer, Christian; Rott, David";"Fischer, Christian; Fischer-Ontrup, Christiane; Käpnick, Friedhelm; Neuber, Nils; Solzmacher, Claudia; Zwitserlood, Pienie";2020;Individuelle Potenzialentwicklung durch stärkenorientierte Lernarchitekturen: Zielgruppenspezifische Adaptationen und Weiterentwicklungen des Forder-Förder-Projektes (FFP);Begabungsförderung, Leistungsentwicklung, Bildungsgerechtigkeit – für alle! Beiträge aus der Begabungsförderung;254–273;;;20 S. (S. 254–273). Forder-Förder-Projekt (FFP) als stärkenorientierte Lernarchitektur. Frage 4 zitiert ausschliesslich S. 264–267 (4 S.) als Evidenzbeleg für stärkenorientierte Lernarchitekturen und selbstreguliertes Arbeiten. Wurde im bisherigen Manuskript fälschlich unter dem Sammelband-Key \textttfischer2020begabungsfoerderung zitiert.;a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F4;Frage 4 (BW, DG/PV: Setting);K;Kernliteratur;ja;grossenbacher2014integrative;317--325;9;"Grossenbacher, Silvia; Tettenborn, Annette";Stamm, Margrit;2014;Talent und Begabung in der Volksschule der deutschsprachigen Schweiz;Handbuch Talententwicklung: Theorien, Methoden und Praxis in Psychologie und Pädagogik;317–325;;;"Frage 4 Kernliteratur: S. 317–325 (9 S.). Schweizer Volksschulkontext, integrative Begabungs- und Begabtenf\""orderung als Auftrag der Volksschule, Massnahmenrepertoire (Differenzierung, Compacting, Enrichment, Akzeleration, Pullout, regionale Angebote), Kooperation Regelunterricht und Heilp\""adagogik, Schulentwicklung. Aus demselben Sammelband: \citestamm2014handbuch. Verifiziert via DNB (idn=1045975508) und lokaler Foto-Scan.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
F4;Frage 4 (BW, DG/PV: Setting);K;Kernliteratur;ja;lehwald2017motivation;151--158;8;Lehwald, Gerhard;;2017;Motivation trifft Begabung: Begabte Kinder und Jugendliche verstehen und gezielt fördern;;;;;"Kernreferenzen: (a) S. 57–63 = Fall Pawel, hochbegabter Underachiever, dokumentierte Parallele zu S.; (b) S. 70–72 = Sechsstufige Stufenfolge ins Underachievement (Abb. 2-5); (c) S. 84–89 = Flow als empirisch st\""arkster Begabungspr\""adiktor; (d) S. 151–158 = F\""orderlogik (Differenzierung, Compacting, Enrichment, Akzeleration), Frage 4 Kernliteratur. Bewusst nicht im Korpus: HST-P/FES/BVE (S. 107–134) wegen Sprachbarriere bei S.; Triadisches Modell (S. 65–69) wegen Redundanz.";a526571f5c088dc8d3902c1dee997585e238af6ddad61f0b1aa0862db5b115f3
